kvalita,plocha,rok_stavby,rok_prodeje,cena
5,164,1958,2009,2.75
4,112,1925,2009,2.58
8,150,1995,2010,5.91
7,106,2003,2007,4.69
7,188,1998,2008,5.56
5,106,1961,2009,3.28
5,88,1968,2007,2.7
7,164,1914,2006,4.08
3,96,1950,2006,2.34
8,167,2005,2006,6.0
5,111,1987,2009,4.47
7,160,2004,2009,4.75
5,133,1910,2007,3.3
6,84,1961,2008,3.55
7,125,2000,2007,4.47
5,136,1963,2009,4.38
8,124,1993,2008,4.5
8,252,1976,2008,7.5
7,209,2000,2009,5.9
7,245,1880,2009,6.65
7,159,1996,2010,6.51
4,142,1945,2009,2.45
4,105,1910,2010,2.41
7,122,2003,2007,4.05
6,138,1997,2006,5.42
8,194,2005,2006,6.89
6,95,1969,2009,3.9
6,136,1999,2009,4.31
8,164,2007,2009,5.3
6,128,1978,2010,3.97
7,139,1999,2008,4.49
8,235,1995,2007,7.25
6,80,1959,2009,3.19
5,120,1924,2009,2.5
7,143,2009,2010,5.38
8,219,1999,2009,8.43
8,138,1995,2006,6.75
9,139,2008,2008,6.6
7,159,1988,2010,4.91
6,162,1940,2008,4.0
7,170,2004,2006,5.42
8,304,2003,2010,13.45
5,79,1982,2009,3.37
4,113,1951,2006,2.55
6,103,1976,2010,2.68
5,84,1958,2007,2.86
8,183,2006,2007,9.88
6,111,1998,2009,4.05
7,149,2005,2006,5.54
5,83,1974,2006,3.56
5,187,1977,2007,3.6
6,93,1977,2006,3.38
7,116,1995,2007,4.4
6,148,1992,2006,4.4
7,132,2001,2009,4.68
5,103,1978,2009,4.14
6,137,1914,2008,3.2
6,124,1967,2009,4.04
5,153,1915,2010,3.48
7,193,2004,2010,5.82
4,83,1954,2008,2.7
6,193,1966,2007,4.69
7,106,2005,2009,4.0
6,98,1976,2007,3.67
7,187,1996,2007,6.74
8,138,2007,2007,5.62
7,176,1994,2008,4.86
6,145,1980,2010,4.28
6,119,1977,2007,3.59
5,71,1953,2008,2.75
9,291,2008,2009,12.12
5,164,1937,2007,4.38
6,156,1997,2008,5.0
4,111,1916,2007,2.75
7,135,2005,2008,4.72
9,262,2008,2009,14.57
5,104,1954,2006,2.95
7,132,2008,2008,5.69
5,91,1967,2006,3.39
5,146,1923,2009,5.59
5,100,1966,2006,4.0
5,198,1898,2009,2.65
6,121,1974,2006,4.53
6,78,2004,2008,3.61
5,96,1952,2010,1.4
6,133,1958,2007,3.95
5,116,1918,2006,2.9
7,154,1998,2010,5.62
5,93,1954,2006,3.42
8,156,2002,2008,6.78
6,97,1971,2010,3.88
7,126,2009,2010,5.6
7,152,2003,2008,4.58
4,86,1953,2009,2.33
7,161,2003,2007,5.62
6,138,1940,2009,3.49
8,138,2006,2006,5.82
10,193,2007,2008,9.62
5,72,1924,2008,2.74
7,133,2001,2009,4.72
5,197,1967,2009,4.62
7,113,2005,2006,3.68
6,129,1957,2008,4.15
7,111,2005,2006,3.78
7,169,2003,2010,5.92
6,140,1964,2009,4.18
5,106,1961,2008,3.5
4,99,1950,2010,3.2
5,144,1948,2007,3.84
6,91,1973,2008,2.5
5,102,1995,2008,3.6
5,111,1946,2008,3.26
6,137,1925,2008,3.5
5,142,1904,2008,3.94
6,108,1966,2008,4.37
5,167,1961,2007,3.52
5,131,1915,2008,3.85
5,158,1975,2007,4.28
7,164,1993,2009,5.32
5,80,1972,2009,3.34
6,219,1908,2008,6.0
6,172,1976,2007,4.68
6,78,2003,2007,3.29
8,135,2003,2006,5.38
7,152,1941,2007,4.1
6,134,1964,2009,3.95
5,165,1955,2006,4.25
5,96,1962,2010,3.18
6,95,1978,2008,3.68
6,137,1994,2009,4.35
7,127,1976,2009,3.8
6,246,1968,2006,6.25
7,132,1918,2007,4.75
5,96,1965,2010,3.29
6,101,1984,2010,3.8
5,106,1959,2009,3.31
7,127,2007,2008,6.26
5,93,1970,2009,3.71
8,152,2006,2007,6.22
4,104,1961,2007,3.22
5,215,1948,2006,4.22
7,181,1993,2010,5.9
5,83,1962,2009,2.74
6,156,1998,2010,5.01
5,84,1953,2008,2.9
5,117,1949,2009,3.32
5,105,1941,2009,1.66
8,242,2007,2007,7.59
4,96,1963,2007,3.31
9,206,2004,2009,8.75
5,107,1961,2010,3.7
5,80,1978,2009,3.41
5,101,2005,2007,3.92
7,159,1990,2007,4.69
6,147,1992,2009,4.45
4,207,1912,2006,2.96
5,82,1967,2009,2.5
9,158,1999,2008,8.22
5,159,1959,2006,3.62
5,129,1955,2008,3.39
8,205,1970,2007,6.7
6,139,1953,2009,3.74
5,85,1949,2007,3.07
6,156,1978,2009,4.31
6,99,1963,2006,3.86
5,128,1954,2008,4.12
5,142,1979,2009,2.97
6,166,1963,2008,3.5
4,88,1936,2006,2.66
5,208,1979,2009,3.57
9,219,2009,2010,15.29
5,114,1961,2006,3.38
4,79,1971,2007,2.75
5,121,1957,2009,3.82
7,140,2003,2006,4.5
7,155,2006,2006,6.0
5,83,1967,2007,3.14
5,98,1954,2010,3.2
8,151,2006,2007,6.38
7,191,1936,2006,6.25
5,83,1983,2006,3.28
6,137,2005,2009,4.35
5,211,1960,2010,3.86
5,117,1977,2009,3.59
5,94,1925,2006,2.2
5,185,1949,2007,3.62
6,113,2009,2009,4.34
4,101,1970,2007,1.88
2,44,1949,2006,0.88
4,114,1956,2009,3.38
7,197,1991,2007,5.95
6,131,1958,2008,4.41
6,159,1994,2007,5.03
5,204,1900,2008,3.65
6,122,2005,2006,4.25
6,150,1993,2008,4.82
6,156,1980,2006,5.19
5,104,1977,2008,4.38
8,220,2003,2007,7.12
7,183,1968,2008,4.4
8,166,2001,2009,5.91
7,207,1997,2006,5.55
8,136,2007,2009,5.03
5,85,1965,2009,2.94
9,176,2006,2007,8.0
7,139,2004,2009,4.75
7,192,1960,2008,6.05
4,69,1926,2006,2.0
7,111,2003,2009,4.62
7,183,2005,2009,6.32
7,182,2006,2006,5.99
7,223,1940,2010,6.11
6,160,1976,2006,3.77
7,191,1999,2009,5.35
4,133,1977,2007,3.75
5,151,1967,2007,3.58
6,124,1958,2009,3.44
5,173,1890,2009,3.12
5,106,1959,2006,3.58
8,151,2002,2007,6.75
7,164,2002,2006,4.81
6,128,1972,2010,4.94
5,80,1950,2007,3.22
5,89,1965,2006,3.0
5,71,1972,2009,3.35
5,182,1969,2008,4.3
6,91,1975,2006,3.19
6,181,1946,2007,3.62
6,114,1980,2009,3.1
5,98,1962,2007,3.3
7,124,2003,2007,4.62
7,131,1999,2010,3.88
5,79,1958,2010,2.91
6,266,1977,2008,6.8
6,143,1976,2007,3.88
9,167,2007,2009,5.98
7,175,2002,2010,5.37
6,137,2005,2007,4.47
5,121,1940,2009,4.0
5,102,1955,2008,3.38
3,89,1910,2009,0.95
6,101,1958,2006,3.5
4,110,1949,2006,3.38
7,151,2003,2009,4.32
6,85,1979,2010,2.49
7,132,2007,2008,4.55
7,187,1910,2009,4.19
7,128,2000,2006,4.12
4,80,1923,2006,2.14
7,115,2006,2007,5.0
4,83,1954,2007,2.75
5,104,1963,2009,3.48
7,92,1961,2008,4.46
8,242,1998,2009,8.4
7,117,2007,2008,4.0
8,212,2002,2008,6.4
5,161,1977,2009,3.15
5,108,1950,2008,3.12
6,151,1910,2006,2.92
9,180,2009,2010,9.88
6,188,1976,2007,4.88
7,146,2006,2006,4.92
8,222,1997,2006,8.7
8,161,1882,2009,4.2
6,171,1964,2007,4.68
6,139,2005,2006,4.35
10,159,2006,2009,8.44
4,114,1946,2006,3.04
5,97,1961,2006,3.41
6,133,1970,2009,4.62
3,100,1922,2006,2.28
7,112,2006,2010,5.15
3,87,1952,2009,2.05
5,64,1920,2007,2.15
8,146,2006,2008,5.8
5,156,1976,2007,3.42
7,139,2005,2009,4.53
5,91,1977,2008,3.75
6,153,1970,2007,4.09
4,101,1970,2009,2.2
7,158,2004,2009,6.0
5,141,1926,2006,2.55
5,118,1948,2008,3.38
5,154,1965,2010,2.5
6,139,1923,2007,4.12
5,94,1910,2009,2.12
6,100,1948,2007,2.98
8,154,2001,2009,5.68
7,139,1996,2009,5.08
8,126,1984,2009,4.69
7,136,1991,2007,4.0
7,139,2005,2006,5.34
4,105,2005,2008,4.4
7,113,2006,2006,4.85
5,115,1930,2007,2.17
7,139,2005,2008,4.78
8,269,1976,2008,7.18
5,81,1972,2007,2.81
5,117,1960,2010,4.19
8,152,2007,2008,7.33
5,127,1941,2007,2.62
6,113,1972,2006,2.95
5,179,1916,2006,4.0
7,286,1920,2009,4.92
8,234,1993,2006,7.75
7,153,2002,2006,5.75
5,88,1938,2007,2.99
4,78,1957,2009,2.1
9,150,2007,2009,7.89
8,210,2001,2008,7.18
4,124,1970,2009,2.42
4,58,1970,2009,2.0
5,167,1957,2006,3.88
6,151,1966,2008,4.32
6,121,2005,2009,4.9
7,216,1990,2008,6.56
8,234,1981,2009,6.95
3,161,1955,2009,3.49
9,266,2005,2006,13.91
5,91,1994,2008,3.62
5,164,1960,2009,2.88
4,86,1946,2010,2.12
7,120,2007,2007,4.41
7,122,2007,2007,5.0
6,183,1964,2007,4.12
5,141,1957,2010,3.61
8,184,2002,2006,6.38
6,141,1976,2008,4.5
7,126,2005,2006,4.65
7,171,1994,2009,6.2
9,202,2008,2009,8.38
6,184,1932,2007,5.5
8,124,2001,2010,5.34
3,83,1935,2008,2.02
5,217,1900,2007,2.25
6,102,1925,2006,2.76
5,107,1966,2009,3.85
7,209,1996,2010,8.2
6,145,1993,2009,4.45
6,149,1964,2008,4.2
6,234,1973,2006,3.78
5,82,1949,2007,3.38
5,97,1956,2007,3.38
6,144,1968,2009,3.85
5,135,1948,2006,2.29
6,132,1977,2009,3.99
7,115,2006,2007,4.85
7,161,1940,2007,5.49
5,136,1936,2006,4.25
5,101,1969,2006,3.47
6,78,2004,2006,3.9
5,91,1994,2007,3.15
6,116,1971,2008,3.62
5,96,1963,2010,3.32
7,135,2002,2007,4.8
6,116,1964,2006,4.0
6,139,1995,2006,4.69
6,92,1992,2010,3.68
4,101,1973,2010,2.09
8,181,2005,2009,6.3
7,158,2004,2006,3.44
8,115,2005,2006,4.92
3,96,1950,2009,2.32
7,116,1999,2008,4.0
6,157,1925,2008,3.41
5,111,1965,2006,3.65
5,86,1956,2010,3.22
6,122,2006,2007,4.41
6,125,1914,2007,3.18
8,101,1986,2007,4.25
4,123,1936,2009,3.2
7,148,1978,2009,3.92
2,40,1920,2009,1.5
5,88,1971,2007,2.99
5,105,1960,2007,3.38
6,110,1959,2006,3.99
5,120,1970,2007,2.65
8,243,1994,2010,8.12
7,133,1990,2007,4.5
7,187,2006,2006,6.87
6,157,2000,2007,4.53
8,170,2004,2009,7.0
6,154,1995,2008,4.7
7,182,1976,2008,5.12
5,75,1957,2006,3.25
5,93,1953,2007,3.36
5,77,1954,2006,2.92
8,161,2007,2007,7.95
8,131,2002,2009,4.6
5,83,1967,2008,3.25
5,148,1958,2008,3.5
5,96,1959,2006,3.34
6,94,1920,2007,2.96
7,144,2005,2006,5.32
4,89,1956,2009,2.8
5,64,1947,2009,2.95
7,137,1992,2007,4.1
4,93,1955,2009,2.88
7,144,2007,2009,4.35
7,142,2004,2007,6.48
7,181,2004,2007,5.38
5,86,1980,2007,3.5
4,184,1928,2009,3.38
5,90,1991,2007,2.34
6,205,1880,2007,2.94
8,187,1995,2009,5.99
6,148,1997,2007,4.22
6,91,1926,2007,2.55
6,116,1950,2008,2.98
5,94,1875,2010,2.35
6,145,1977,2009,4.9
5,108,1920,2007,3.6
5,88,1951,2008,3.48
5,173,1976,2009,4.94
8,262,2006,2007,10.62
5,93,1959,2008,2.0
4,85,1941,2010,2.0
5,146,1928,2006,3.72
6,120,1985,2006,4.5
7,145,1941,2009,4.36
7,103,1926,2008,2.92
7,137,1920,2009,3.58
6,86,1950,2007,3.1
5,136,1959,2006,3.75
6,168,1956,2006,5.75
6,75,1930,2008,3.01
7,169,1965,2008,5.04
5,133,1976,2007,5.45
5,117,1965,2008,4.5
7,122,2007,2009,5.75
8,146,2007,2008,5.88
6,174,1974,2008,4.62
6,135,1978,2010,3.65
6,152,1954,2008,5.6
5,83,1968,2007,3.22
4,116,1969,2008,2.72
5,133,1978,2007,4.85
7,139,2009,2009,5.83
8,157,2008,2010,6.13
6,155,2000,2006,4.32
6,195,1935,2008,5.88
10,336,1995,2006,15.62
6,103,1977,2008,4.28
6,117,1958,2008,4.08
7,116,2006,2008,4.3
5,286,1946,2007,5.01
6,217,1932,2006,5.98
8,266,1992,2007,7.12
5,85,1984,2008,2.99
6,113,1926,2009,2.88
5,124,1921,2009,3.87
5,104,1954,2006,2.33
7,233,1990,2006,6.25
8,153,2008,2008,9.81
10,415,1996,2007,18.62
5,104,1920,2006,3.0
5,146,1963,2007,4.67
5,113,1924,2006,2.62
3,157,1900,2009,2.38
8,150,1994,2006,6.55
7,154,2002,2009,4.88
7,167,1999,2010,4.72
4,150,1961,2007,4.2
8,133,1999,2007,4.35
5,136,1925,2007,3.12
6,113,1999,2009,4.12
6,125,1969,2010,3.95
6,135,2005,2008,4.4
7,173,2006,2006,5.48
7,157,1916,2006,3.6
7,112,2001,2009,4.45
4,128,1963,2006,3.7
4,80,1970,2006,2.9
7,165,1998,2009,4.95
5,125,1925,2009,2.92
7,151,2000,2009,5.32
5,99,1975,2006,3.84
7,204,1990,2009,6.8
4,98,1966,2006,2.68
6,157,2003,2006,5.0
5,119,1962,2008,3.5
8,154,2006,2006,7.25
6,171,1992,2010,4.72
8,162,1988,2010,4.1
4,62,1941,2009,2.82
4,89,1965,2006,3.62
5,92,1962,2006,3.36
5,83,1966,2007,3.12
6,176,1978,2010,2.8
8,122,2009,2009,5.74
4,84,1947,2006,2.01
6,113,1971,2006,2.29
5,84,1964,2006,2.88
5,112,1968,2008,3.35
6,171,1949,2007,3.58
5,198,1951,2006,3.45
7,138,2004,2008,4.6
6,105,1958,2007,3.62
6,179,2007,2008,5.35
5,84,1965,2008,3.68
9,158,2008,2008,9.18
5,140,1960,2008,3.18
5,243,1977,2007,4.75
5,110,1962,2006,3.31
4,113,1962,2007,2.54
5,110,1959,2010,3.55
5,182,1911,2008,3.25
5,165,1914,2006,3.47
7,151,2003,2010,4.39
7,180,2004,2006,4.88
6,106,2005,2006,3.56
8,137,2006,2007,6.65
7,164,2003,2008,5.62
7,156,2007,2007,6.21
7,108,1974,2010,4.25
10,192,2006,2006,11.62
8,140,1929,2006,5.75
6,173,1984,2007,4.45
7,144,2005,2006,4.66
6,96,1976,2010,4.25
6,191,1917,2008,3.24
5,91,1950,2007,2.98
7,196,1968,2010,6.1
7,130,2003,2006,4.29
5,81,1968,2009,3.25
7,201,1974,2007,7.35
7,153,2003,2008,4.14
6,126,1931,2007,3.19
8,184,1994,2008,7.54
5,80,1922,2009,2.5
7,108,2005,2008,4.75
6,97,1969,2008,3.78
6,155,1999,2009,4.53
5,97,1956,2009,3.22
4,166,1957,2009,4.04
6,169,1919,2007,4.51
6,124,1998,2008,4.53
7,134,1999,2006,4.6
7,175,1910,2007,3.05
9,187,2008,2010,9.46
8,320,1935,2008,9.52
5,141,1958,2007,3.6
7,141,1979,2010,6.5
6,138,1968,2009,4.64
5,86,1965,2006,3.42
6,126,1959,2008,4.42
5,116,1910,2007,3.48
5,178,1948,2007,3.42
6,129,1972,2009,4.05
6,160,1967,2009,4.95
8,188,2002,2008,5.92
4,104,1920,2010,1.71
7,146,2002,2009,5.68
7,124,1990,2006,4.5
5,96,1977,2009,3.76
6,169,1971,2010,3.48
6,227,1919,2010,4.22
6,131,1939,2009,3.31
6,123,1963,2010,3.58
5,146,1964,2006,4.75
8,154,2000,2009,6.95
8,183,2006,2006,7.02
5,107,1964,2010,4.51
5,120,1972,2009,2.99
5,220,1892,2009,2.69
7,154,1976,2006,4.07
5,80,1955,2006,2.88
5,97,1968,2006,3.46
5,104,1963,2008,3.88
6,99,2005,2006,3.5
10,524,2008,2008,4.0
5,115,1959,2010,3.85
7,184,1999,2009,5.62
6,138,1942,2009,4.44
8,234,1994,2006,7.25
7,150,2005,2006,5.8
7,158,2004,2006,3.25
9,153,2006,2009,8.12
7,127,2005,2006,5.06
5,91,1994,2009,3.45
5,104,1948,2008,3.68
6,120,1991,2008,4.48
7,176,1959,2010,8.38
7,118,2005,2007,5.08
8,261,1990,2007,7.55
9,241,1999,2010,8.33
4,88,1954,2007,2.98
6,196,1969,2008,5.17
8,151,2008,2009,7.39
7,125,2006,2007,5.22
8,166,2001,2006,6.88
4,88,1954,2007,2.78
6,137,1957,2009,3.91
3,66,1949,2008,1.81
7,178,1992,2010,4.75
4,65,1940,2009,2.06
8,166,2006,2007,3.68
4,73,1922,2008,1.38
3,71,1931,2007,1.98
5,75,1982,2008,3.26
6,259,1920,2008,6.4
7,151,1998,2006,4.41
8,147,2006,2007,5.68
5,88,1976,2006,3.31
4,75,1938,2009,2.5
5,126,1938,2006,3.14
5,126,1970,2009,3.12
6,123,1977,2009,4.2
5,153,1973,2008,3.38
4,64,1941,2006,1.31
7,172,2002,2006,5.0
5,80,1972,2006,3.21
4,81,1971,2007,3.08
6,103,2003,2008,3.88
8,201,2002,2007,5.71
6,177,1928,2009,4.42
7,135,2006,2007,3.9
4,89,1920,2007,2.71
7,200,1968,2006,6.56
8,164,2006,2007,7.09
7,138,1998,2007,5.38
8,219,1872,2008,3.05
5,244,1969,2009,5.0
6,159,1962,2008,4.28
6,109,1937,2009,3.37
8,300,1995,2010,10.25
7,173,2000,2008,5.88
7,178,1968,2006,4.25
5,82,1966,2008,2.75
5,100,1971,2010,3.75
6,146,2000,2010,4.44
9,183,2004,2006,7.88
5,241,1921,2008,4.72
7,142,2005,2009,6.5
4,161,1920,2009,2.62
6,131,2006,2007,3.92
7,111,2005,2006,3.6
7,155,2000,2010,5.4
7,166,1999,2008,4.82
5,137,1977,2006,3.18
6,78,2003,2009,3.6
8,154,2003,2010,5.8
4,127,1920,2009,2.62
6,154,1955,2008,4.14
7,194,1998,2006,6.86
10,244,2001,2007,11.66
7,181,2005,2008,6.25
8,145,2007,2007,5.98
6,73,1930,2008,2.28
5,149,1941,2009,2.92
6,91,1973,2006,2.08
5,129,2006,2008,4.19
3,80,1914,2010,1.46
6,196,1970,2008,5.94
7,163,1920,2006,3.92
5,131,1918,2007,2.8
6,116,1939,2009,2.62
4,107,1922,2010,3.14
7,258,1978,2006,6.25
6,234,1916,2007,3.4
9,162,2006,2009,9.44
6,113,1941,2007,3.28
7,141,2000,2006,5.88
5,147,1967,2009,3.1
5,83,1967,2006,3.08
6,177,1905,2008,4.08
7,139,2006,2006,6.16
8,230,2005,2007,7.03
5,156,1948,2010,4.0
5,140,1920,2007,3.44
5,176,1950,2009,3.45
6,149,1925,2009,3.44
6,107,1929,2008,3.0
6,147,2004,2008,4.82
7,120,2006,2006,4.85
8,136,2007,2007,7.07
3,112,1915,2006,2.62
8,152,2004,2008,6.88
5,71,1972,2009,3.32
5,77,1985,2009,2.8
4,126,1910,2010,3.14
7,194,1986,2008,5.38
7,170,2001,2009,5.75
6,154,1950,2009,3.5
4,96,1949,2009,2.25
8,171,2005,2009,6.42
6,171,1923,2008,5.18
7,145,2007,2009,4.4
4,212,1885,2010,3.06
8,227,1998,2009,8.5
5,106,1963,2008,3.1
6,171,1969,2006,5.58
6,131,1968,2006,4.5
6,99,1977,2010,3.19
6,78,2003,2008,3.41
6,204,1966,2006,6.87
5,124,1958,2007,3.6
6,116,1959,2008,3.55
7,197,1994,2008,6.78
5,144,1945,2008,3.5
5,74,1940,2010,2.98
6,133,1981,2007,4.57
5,170,2005,2006,4.8
6,89,1976,2009,3.59
4,89,1927,2007,1.61
6,166,2000,2008,4.66
5,104,1977,2006,4.0
6,142,1962,2008,4.35
4,80,1971,2007,3.01
8,179,2008,2008,9.87
6,114,1957,2010,3.74
7,160,1979,2007,4.92
6,237,1922,2008,4.78
6,78,2004,2008,3.73
10,186,2008,2009,7.75
6,88,1916,2009,3.02
7,132,2004,2007,4.49
6,84,1966,2007,3.22
5,110,1962,2010,3.95
8,194,1995,2007,6.0
4,125,1910,2007,2.8
5,58,1970,2006,2.3
5,166,1974,2009,3.4
8,146,2008,2009,7.18
5,99,2005,2006,3.62
5,105,2006,2006,2.11
7,113,2004,2009,4.62
6,153,1999,2007,4.38
6,192,1978,2010,5.25
7,217,1941,2010,6.66
5,100,1950,2010,3.55
5,116,1965,2008,3.69
